quadra;lote;status;valor;observacao;atualizado_em
1;1;nao_informado;;;
1;2;nao_informado;;;
1;3;nao_informado;;;
1;4;nao_informado;;;
1;5;nao_informado;;;
1;6;nao_informado;;;
1;7;nao_informado;;;
1;8;nao_informado;;;
1;9;nao_informado;;;
1;10;nao_informado;;;
1;11;nao_informado;;;
1;12;nao_informado;;;
1;13;nao_informado;;;
1;14;nao_informado;;;
1;15;nao_informado;;;
1;16;nao_informado;;;
1;17;nao_informado;;;
1;18;nao_informado;;;
1;19;nao_informado;;;
2;1;nao_informado;;;
2;2;nao_informado;;;
2;3;nao_informado;;;
2;4;nao_informado;;;
2;5;nao_informado;;;
2;6;nao_informado;;;
2;7;nao_informado;;;
2;8;nao_informado;;;
2;9;nao_informado;;;
2;10;nao_informado;;;
2;11;nao_informado;;;
2;12;nao_informado;;;
2;13;nao_informado;;;
2;14;nao_informado;;;
2;15;nao_informado;;;
2;16;nao_informado;;;
2;17;nao_informado;;;
2;18;nao_informado;;;
2;19;nao_informado;;;
2;20;nao_informado;;;
2;21;nao_informado;;;
2;22;nao_informado;;;
3;1;nao_informado;;;
3;2;nao_informado;;;
3;3;nao_informado;;;
3;4;nao_informado;;;
3;5;nao_informado;;;
3;6;nao_informado;;;
3;7;nao_informado;;;
3;8;nao_informado;;;
3;9;nao_informado;;;
3;10;nao_informado;;;
3;11;nao_informado;;;
3;12;nao_informado;;;
3;13;nao_informado;;;
3;14;nao_informado;;;
3;15;nao_informado;;;
3;16;nao_informado;;;
3;17;nao_informado;;;
3;18;nao_informado;;;
3;19;nao_informado;;;
3;20;nao_informado;;;
3;21;nao_informado;;;
3;22;nao_informado;;;
4;1;nao_informado;;;
4;2;nao_informado;;;
4;3;nao_informado;;;
4;4;nao_informado;;;
4;5;nao_informado;;;
4;6;nao_informado;;;
4;7;nao_informado;;;
4;8;nao_informado;;;
4;9;nao_informado;;;
4;10;nao_informado;;;
4;11;nao_informado;;;
4;12;nao_informado;;;
4;13;nao_informado;;;
4;14;nao_informado;;;
4;15;nao_informado;;;
4;16;nao_informado;;;
4;17;nao_informado;;;
4;18;nao_informado;;;
4;19;nao_informado;;;
4;20;nao_informado;;;
4;21;nao_informado;;;
4;22;nao_informado;;;
4;23;nao_informado;;;
4;24;nao_informado;;;
5;1;nao_informado;;;
5;2;nao_informado;;;
5;3;nao_informado;;;
5;4;nao_informado;;;
5;5;nao_informado;;;
5;6;nao_informado;;;
5;7;nao_informado;;;
5;8;nao_informado;;;
5;9;nao_informado;;;
5;10;nao_informado;;;
5;11;nao_informado;;;
5;12;nao_informado;;;
5;13;nao_informado;;;
5;14;nao_informado;;;
5;15;nao_informado;;;
5;16;nao_informado;;;
5;17;nao_informado;;;
5;18;nao_informado;;;
5;19;nao_informado;;;
5;20;nao_informado;;;
6;1;nao_informado;;;
6;2;nao_informado;;;
6;3;nao_informado;;;
6;4;nao_informado;;;
6;5;nao_informado;;;
6;6;nao_informado;;;
6;7;nao_informado;;;
6;8;nao_informado;;;
6;9;nao_informado;;;
6;10;nao_informado;;;
6;11;nao_informado;;;
6;12;nao_informado;;;
6;13;nao_informado;;;
6;14;nao_informado;;;
6;15;nao_informado;;;
6;16;nao_informado;;;
6;17;nao_informado;;;
6;18;nao_informado;;;
6;19;nao_informado;;;
7;1;nao_informado;;;
7;2;nao_informado;;;
7;3;nao_informado;;;
7;4;nao_informado;;;
7;5;nao_informado;;;
7;6;nao_informado;;;
7;7;nao_informado;;;
7;8;nao_informado;;;
7;9;nao_informado;;;
7;10;nao_informado;;;
7;11;nao_informado;;;
7;12;nao_informado;;;
7;13;nao_informado;;;
7;14;nao_informado;;;
7;15;nao_informado;;;
